대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
,,,,,,,,,,,,,,YL-3,PS139,PS139,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS141,PS141,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS142,PS142,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS146,PS146,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS148,PS148,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS149,PS149,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS150,PS150,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS151,PS151,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS153,PS153,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS154,PS154,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS155,PS155,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS156 포그그레이지,PS156 포그그레이지,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PW836-1,PW836-1,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX444,PX444,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX445,PX445,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PX450 발렌무디 크림,PX450 발렌무디 크림,,0,,,,,,,550,,,,,,,,
