대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,솔리드,예림142 HS039 샌드,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림143 HS038 머드그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림144 HS028 윈디블루,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림146 HS037 딥오션,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림147 HS014 어반그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림149 HE404 스킨,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림150 HE405 민트그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림151 HE406 브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS008 모카그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS017 샌드크래커,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS018 애프리콧,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS023 뮤트핑크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS024 드라이로즈,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS033 제이드그린,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,HS036 모스그린,,,,,,,,,,660,,,,,,,,,,,,,,,,
